country,country_code_2_digit,country_code_3_digit,population,source,reported_date,confirmed cases_count,deaths_count
Andorra,AD,AND,76177,"Epidemic intelligence, national daily data",2020-04-24,1,0
Armenia,AM,ARM,2963234,"Epidemic intelligence, national daily data",2020-06-28,736,6
Greece,EL,GRC,10724599,"Epidemic intelligence, national daily data",2020-04-24,55,4
Montenegro,ME,MNE,622182,"Epidemic intelligence, national daily data",2020-04-27,1,1
the Holy See/ Vatican City State,VA,VAT,809,"Epidemic intelligence, national daily data",2020-08-19,0,0
Monaco,MC,MCO,33085,"Epidemic intelligence, national daily data",2020-03-20,3,0
Romania,RO,ROU,19414458,"Epidemic intelligence, national daily data",2020-05-28,165,9
Estonia,EE,EST,1324820,"Epidemic intelligence, national daily data",2020-01-04,0,0
North Macedonia,MK,MKD,2077132,"Epidemic intelligence, national daily data",2020-06-10,87,1
Ukraine,UA,UKR,43733759,"Epidemic intelligence, national daily data",2020-01-24,0,0
Slovakia,SK,SVK,5450421,"Epidemic intelligence, national daily data",2020-10-08,877,0
Azerbaijan,AZ,AZE,10139175,"Epidemic intelligence, national daily data",2020-01-14,0,0
Montenegro,ME,MNE,622182,"Epidemic intelligence, national daily data",2020-01-15,0,0
Belarus,BY,BLR,9449321,"Epidemic intelligence, national daily data",2020-08-25,177,4
Guernsey,GG,GGY,64468,"Epidemic intelligence, national daily data",2020-03-08,0,0
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-10-01,1076,19
Turkey,TR,TUR,82003882,"Epidemic intelligence, national daily data",2020-02-21,0,0
United Kingdom,UK,GBR,66647112,"Epidemic intelligence, national daily data",2020-08-10,1062,5
Portugal,PT,PRT,10276617,"Epidemic intelligence, national daily data",2020-07-22,127,6
Bosnia and Herzegovina,BA,BIH,3280815,"Epidemic intelligence, national daily data",2020-07-10,219,6
Bosnia and Herzegovina,BA,BIH,3280815,"Epidemic intelligence, national daily data",2020-10-03,0,0
Malta,MT,MLT,493559,"Epidemic intelligence, national daily data",2020-03-02,0,0
Hungary,HU,HUN,9772756,"Epidemic intelligence, national daily data",2020-04-10,210,11
Netherlands,NL,NLD,17282163,"Epidemic intelligence, national daily data",2020-03-20,409,18
Slovenia,SI,SVN,2080908,"Epidemic intelligence, national daily data",2020-10-25,1964,2
Kosovo,,RKS,1798506,"Epidemic intelligence, national daily data",2020-05-15,18,0
Armenia,AM,ARM,2963234,"Epidemic intelligence, national daily data",2020-06-30,415,10
Romania,RO,ROU,19414458,"Epidemic intelligence, national daily data",2020-02-05,0,0
Slovenia,SI,SVN,2080908,"Epidemic intelligence, national daily data",2020-01-03,0,0
Andorra,AD,AND,76177,"Epidemic intelligence, national daily data",2020-06-21,0,0
Isle of Man,,IMN,85032,"Epidemic intelligence, national daily data",2020-01-23,0,0
Malta,MT,MLT,493559,"Epidemic intelligence, national daily data",2020-02-05,0,0
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-08-17,0,0
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-09-09,24,0
United Kingdom,UK,GBR,66647112,"Epidemic intelligence, national daily data",2020-09-11,2919,14
Bosnia and Herzegovina,BA,BIH,3280815,"Epidemic intelligence, national daily data",2020-08-13,253,6
Spain,ES,ESP,46937060,"Epidemic intelligence, national daily data",2020-02-10,1,0
Austria,AT,AUT,8858775,"Epidemic intelligence, national daily data",2020-08-18,344,1
Armenia,AM,ARM,2963234,"Epidemic intelligence, national daily data",2020-04-25,81,1
Belarus,BY,BLR,9449321,"Epidemic intelligence, national daily data",2020-07-31,147,5
Azerbaijan,AZ,AZE,10139175,"Epidemic intelligence, national daily data",2020-03-18,9,0
Sweden,SE,SWE,10230185,"Epidemic intelligence, national daily data",2020-08-20,351,1
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-08-15,292,3
Finland,FI,FIN,5517919,"Epidemic intelligence, national daily data",2020-06-25,12,0
Liechtenstein,LI,LIE,38378,"Epidemic intelligence, national daily data",2020-05-27,0,0
Guernsey,GG,GGY,64468,"Epidemic intelligence, national daily data",2020-07-27,0,0
Slovenia,SI,SVN,2080908,"Epidemic intelligence, national daily data",2020-02-07,0,0
Andorra,AD,AND,76177,"Epidemic intelligence, national daily data",2020-01-21,0,0
Netherlands,NL,NLD,17282163,"Epidemic intelligence, national daily data",2020-07-08,37,4
North Macedonia,MK,MKD,2077132,"Epidemic intelligence, national daily data",2020-03-05,0,0
Ireland,IE,IRL,4904240,"Epidemic intelligence, national daily data",2020-01-24,0,0
Ukraine,UA,UKR,43733759,"Epidemic intelligence, national daily data",2020-08-17,3101,45
Moldova,MD,MDA,4033963,"Epidemic intelligence, national daily data",2020-04-12,122,1
Germany,DE,DEU,83019213,"Epidemic intelligence, national daily data",2020-03-02,18,0
Turkey,TR,TUR,82003882,"Epidemic intelligence, national daily data",2020-10-17,1812,73
Greece,EL,GRC,10724599,"Epidemic intelligence, national daily data",2020-05-13,18,1
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-06-10,54,0
Serbia,RS,SRB,6963764,"Epidemic intelligence, national daily data",2020-10-25,757,3
Slovenia,SI,SVN,2080908,"Epidemic intelligence, national daily data",2020-06-25,7,0
Malta,MT,MLT,493559,"Epidemic intelligence, national daily data",2020-08-14,55,0
Kosovo,,RKS,1798506,"Epidemic intelligence, national daily data",2020-07-31,258,16
Andorra,AD,AND,76177,"Epidemic intelligence, national daily data",2020-08-12,0,0
Gibraltar,GI,GIB,33691,"Epidemic intelligence, national daily data",2020-02-04,0,0
Jersey,JE,JEY,107796,"Epidemic intelligence, national daily data",2020-01-12,0,0
San Marino,SM,SMR,34453,"Epidemic intelligence, national daily data",2020-06-30,0,0
Finland,FI,FIN,5517919,"Epidemic intelligence, national daily data",2020-01-08,0,0
Austria,AT,AUT,8858775,"Epidemic intelligence, national daily data",2020-06-20,30,0
France,FR,FRA,67012883,"Epidemic intelligence, national daily data",2020-07-05,0,0
Bulgaria,BG,BGR,7000039,"Epidemic intelligence, national daily data",2020-07-11,292,0
Liechtenstein,LI,LIE,38378,"Epidemic intelligence, national daily data",2020-01-26,0,0
Switzerland,CH,CHE,8544527,"Epidemic intelligence, national daily data",2020-05-10,44,6
Portugal,PT,PRT,10276617,"Epidemic intelligence, national daily data",2020-04-15,514,32
Bulgaria,BG,BGR,7000039,"Epidemic intelligence, national daily data",2020-09-19,189,9
Ukraine,UA,UKR,43733759,"Epidemic intelligence, national daily data",2020-02-08,0,0
France,FR,FRA,67012883,"Epidemic intelligence, national daily data",2020-04-16,2633,1438
Latvia,LV,LVA,1919968,"Epidemic intelligence, national daily data",2020-05-20,3,2
Liechtenstein,LI,LIE,38378,"Epidemic intelligence, national daily data",2020-09-09,0,0
Kosovo,,RKS,1798506,"Epidemic intelligence, national daily data",2020-04-15,15,0
Georgia,GE,GEO,3989175,"Epidemic intelligence, national daily data",2020-07-21,11,1
Gibraltar,GI,GIB,33691,"Epidemic intelligence, national daily data",2020-10-19,13,0
Ukraine,UA,UKR,43733759,"Epidemic intelligence, national daily data",2020-10-15,5590,96
Bosnia and Herzegovina,BA,BIH,3280815,"Epidemic intelligence, national daily data",2020-05-16,21,4
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-09-23,2394,9
Iceland,IS,ISL,356991,"Epidemic intelligence, national daily data",2020-04-26,1,0
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-04-19,57,0
Isle of Man,,IMN,85032,"Epidemic intelligence, national daily data",2020-08-28,0,0
Armenia,AM,ARM,2963234,"Epidemic intelligence, national daily data",2020-02-03,0,0
Armenia,AM,ARM,2963234,"Epidemic intelligence, national daily data",2020-01-06,0,0
Guernsey,GG,GGY,64468,"Epidemic intelligence, national daily data",2020-09-28,0,0
Bosnia and Herzegovina,BA,BIH,3280815,"Epidemic intelligence, national daily data",2020-06-19,58,0
Norway,NO,NOR,5328212,"Epidemic intelligence, national daily data",2020-03-27,240,2
Ireland,IE,IRL,4904240,"Epidemic intelligence, national daily data",2020-03-31,295,8
Isle of Man,,IMN,85032,"Epidemic intelligence, national daily data",2020-01-26,0,0
Armenia,AM,ARM,2963234,"Epidemic intelligence, national daily data",2020-02-24,0,0
Faroes,,FRO,48865,"Epidemic intelligence, national daily data",2020-08-14,23,0
Spain,ES,ESP,46937060,"Epidemic intelligence, national daily data",2020-10-21,16973,156
Moldova,MD,MDA,4033963,"Epidemic intelligence, national daily data",2020-06-20,450,6
Iceland,IS,ISL,356991,"Epidemic intelligence, national daily data",2020-09-26,49,0
Monaco,MC,MCO,33085,"Epidemic intelligence, national daily data",2020-06-15,0,0
Austria,AT,AUT,8858775,"Epidemic intelligence, national daily data",2020-09-22,593,1
Portugal,PT,PRT,10276617,"Epidemic intelligence, national daily data",2020-02-25,0,0
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-03-15,64,0
Liechtenstein,LI,LIE,38378,"Epidemic intelligence, national daily data",2020-08-19,3,0
Kosovo,,RKS,1798506,"Epidemic intelligence, national daily data",2020-05-17,23,0
Bulgaria,BG,BGR,7000039,"Epidemic intelligence, national daily data",2020-01-24,0,0
San Marino,SM,SMR,34453,"Epidemic intelligence, national daily data",2020-01-14,0,0
Monaco,MC,MCO,33085,"Epidemic intelligence, national daily data",2020-04-09,0,0
Estonia,EE,EST,1324820,"Epidemic intelligence, national daily data",2020-06-15,0,0
Liechtenstein,LI,LIE,38378,"Epidemic intelligence, national daily data",2020-08-06,0,0
Netherlands,NL,NLD,17282163,"Epidemic intelligence, national daily data",2020-08-26,414,5
Russia,RU,RUS,145934460,"Epidemic intelligence, national daily data",2020-09-26,7212,108
Denmark,DK,DNK,5806081,"Epidemic intelligence, national daily data",2020-06-06,64,4
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-02-15,0,0
Bosnia and Herzegovina,BA,BIH,3280815,"Epidemic intelligence, national daily data",2020-05-30,22,0
Latvia,LV,LVA,1919968,"Epidemic intelligence, national daily data",2020-07-24,6,0
Lithuania,LT,LTU,2794184,"Epidemic intelligence, national daily data",2020-04-15,0,0
Austria,AT,AUT,8858775,"Epidemic intelligence, national daily data",2020-02-29,2,0
Azerbaijan,AZ,AZE,10139175,"Epidemic intelligence, national daily data",2020-02-23,0,0
Belgium,BE,BEL,11455519,"Epidemic intelligence, national daily data",2020-10-02,3407,15
Serbia,RS,SRB,6963764,"Epidemic intelligence, national daily data",2020-08-03,311,8
Armenia,AM,ARM,2963234,"Epidemic intelligence, national daily data",2020-06-19,459,10
Bosnia and Herzegovina,BA,BIH,3280815,"Epidemic intelligence, national daily data",2020-03-12,1,0
Ukraine,UA,UKR,43733759,"Epidemic intelligence, national daily data",2020-05-28,321,14
Estonia,EE,EST,1324820,"Epidemic intelligence, national daily data",2020-02-13,0,0
Switzerland,CH,CHE,8544527,"Epidemic intelligence, national daily data",2020-01-05,0,0
France,FR,FRA,67012883,"Epidemic intelligence, national daily data",2020-01-09,0,0
Greece,EL,GRC,10724599,"Epidemic intelligence, national daily data",2020-10-13,294,7
Latvia,LV,LVA,1919968,"Epidemic intelligence, national daily data",2020-10-13,95,0
United Kingdom,UK,GBR,66647112,"Epidemic intelligence, national daily data",2020-02-27,5,0
North Macedonia,MK,MKD,2077132,"Epidemic intelligence, national daily data",2020-08-19,103,3
Albania,AL,ALB,2862427,"Epidemic intelligence, national daily data",2020-10-01,131,3
Bosnia and Herzegovina,BA,BIH,3280815,"Epidemic intelligence, national daily data",2020-08-18,500,6
Bosnia and Herzegovina,BA,BIH,3280815,"Epidemic intelligence, national daily data",2020-08-17,0,0
Iceland,IS,ISL,356991,"Epidemic intelligence, national daily data",2020-06-22,0,0
San Marino,SM,SMR,34453,"Epidemic intelligence, national daily data",2020-05-26,1,0
Faroes,,FRO,48865,"Epidemic intelligence, national daily data",2020-09-20,1,0
Slovakia,SK,SVK,5450421,"Epidemic intelligence, national daily data",2020-04-25,35,2
Guernsey,GG,GGY,64468,"Epidemic intelligence, national daily data",2020-04-05,22,0
Albania,AL,ALB,2862427,"Epidemic intelligence, national daily data",2020-05-08,10,0
San Marino,SM,SMR,34453,"Epidemic intelligence, national daily data",2020-03-07,1,0
Ukraine,UA,UKR,43733759,"Epidemic intelligence, national daily data",2020-08-26,3331,25
San Marino,SM,SMR,34453,"Epidemic intelligence, national daily data",2020-06-24,0,0
Iceland,IS,ISL,356991,"Epidemic intelligence, national daily data",2020-09-18,17,0
Slovenia,SI,SVN,2080908,"Epidemic intelligence, national daily data",2020-10-18,898,0
Georgia,GE,GEO,3989175,"Epidemic intelligence, national daily data",2020-01-03,0,0
Switzerland,CH,CHE,8544527,"Epidemic intelligence, national daily data",2020-04-07,552,25
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-01-17,0,0
Greece,EL,GRC,10724599,"Epidemic intelligence, national daily data",2020-09-17,311,3
Spain,ES,ESP,46937060,"Epidemic intelligence, national daily data",2020-07-09,543,5
Bulgaria,BG,BGR,7000039,"Epidemic intelligence, national daily data",2020-07-12,211,0
Sweden,SE,SWE,10230185,"Epidemic intelligence, national daily data",2020-08-05,333,2
France,FR,FRA,67012883,"Epidemic intelligence, national daily data",2020-01-18,0,0
the Holy See/ Vatican City State,VA,VAT,809,"Epidemic intelligence, national daily data",2020-07-03,0,0
Belarus,BY,BLR,9449321,"Epidemic intelligence, national daily data",2020-01-13,0,0
Lithuania,LT,LTU,2794184,"Epidemic intelligence, national daily data",2020-10-20,205,0
Switzerland,CH,CHE,8544527,"Epidemic intelligence, national daily data",2020-03-09,68,1
Estonia,EE,EST,1324820,"Epidemic intelligence, national daily data",2020-02-21,0,0
Faroes,,FRO,48865,"Epidemic intelligence, national daily data",2020-01-30,0,0
Slovenia,SI,SVN,2080908,"Epidemic intelligence, national daily data",2020-04-13,17,3
Switzerland,CH,CHE,8544527,"Epidemic intelligence, national daily data",2020-02-25,0,0
France,FR,FRA,67012883,"Epidemic intelligence, national daily data",2020-08-06,1695,9
Armenia,AM,ARM,2963234,"Epidemic intelligence, national daily data",2020-03-31,50,0
Croatia,HR,HRV,4076246,"Epidemic intelligence, national daily data",2020-04-07,40,1
Jersey,JE,JEY,107796,"Epidemic intelligence, national daily data",2020-07-28,2,0
Slovakia,SK,SVK,5450421,"Epidemic intelligence, national daily data",2020-08-03,7,0
Cyprus,CY,CYP,875899,"Epidemic intelligence, national daily data",2020-02-24,0,0
Bulgaria,BG,BGR,7000039,"Epidemic intelligence, national daily data",2020-07-13,77,6
Switzerland,CH,CHE,8544527,"Epidemic intelligence, national daily data",2020-03-26,925,17
Croatia,HR,HRV,4076246,"Epidemic intelligence, national daily data",2020-02-12,0,0
Serbia,RS,SRB,6963764,"Epidemic intelligence, national daily data",2020-02-11,0,0
Gibraltar,GI,GIB,33691,"Epidemic intelligence, national daily data",2020-01-07,0,0
Sweden,SE,SWE,10230185,"Epidemic intelligence, national daily data",2020-06-15,418,27
Netherlands,NL,NLD,17282163,"Epidemic intelligence, national daily data",2020-03-27,1019,78
Serbia,RS,SRB,6963764,"Epidemic intelligence, national daily data",2020-05-23,105,0
Belarus,BY,BLR,9449321,"Epidemic intelligence, national daily data",2020-07-25,158,0
Guernsey,GG,GGY,64468,"Epidemic intelligence, national daily data",2020-08-11,0,0
Moldova,MD,MDA,4033963,"Epidemic intelligence, national daily data",2020-09-05,534,11
Malta,MT,MLT,493559,"Epidemic intelligence, national daily data",2020-08-03,15,0
Austria,AT,AUT,8858775,"Epidemic intelligence, national daily data",2020-08-16,260,3
Ireland,IE,IRL,4904240,"Epidemic intelligence, national daily data",2020-02-20,0,0
Liechtenstein,LI,LIE,38378,"Epidemic intelligence, national daily data",2020-09-14,2,0
Azerbaijan,AZ,AZE,10139175,"Epidemic intelligence, national daily data",2020-03-17,0,0
Denmark,DK,DNK,5806081,"Epidemic intelligence, national daily data",2020-06-09,14,4
Finland,FI,FIN,5517919,"Epidemic intelligence, national daily data",2020-07-17,0,0
Ireland,IE,IRL,4904240,"Epidemic intelligence, national daily data",2020-01-31,0,0
Moldova,MD,MDA,4033963,"Epidemic intelligence, national daily data",2020-06-21,397,14
United Kingdom,UK,GBR,66647112,"Epidemic intelligence, national daily data",2020-08-23,1288,18
Moldova,MD,MDA,4033963,"Epidemic intelligence, national daily data",2020-09-07,324,0
Georgia,GE,GEO,3989175,"Epidemic intelligence, national daily data",2020-09-18,182,0
Romania,RO,ROU,19414458,"Epidemic intelligence, national daily data",2020-07-27,1120,22
Montenegro,ME,MNE,622182,"Epidemic intelligence, national daily data",2020-03-06,0,0
North Macedonia,MK,MKD,2077132,"Epidemic intelligence, national daily data",2020-05-31,34,5
Finland,FI,FIN,5517919,"Epidemic intelligence, national daily data",2020-02-19,0,0
Isle of Man,,IMN,85032,"Epidemic intelligence, national daily data",2020-10-01,0,0
Kosovo,,RKS,1798506,"Epidemic intelligence, national daily data",2020-04-12,33,0
Andorra,AD,AND,76177,"Epidemic intelligence, national daily data",2020-01-13,0,0
Ireland,IE,IRL,4904240,"Epidemic intelligence, national daily data",2020-10-19,1284,3
Slovenia,SI,SVN,2080908,"Epidemic intelligence, national daily data",2020-01-23,0,0
Hungary,HU,HUN,9772756,"Epidemic intelligence, national daily data",2020-03-22,28,0
Cyprus,CY,CYP,875899,"Epidemic intelligence, national daily data",2020-09-16,6,0
San Marino,SM,SMR,34453,"Epidemic intelligence, national daily data",2020-03-25,0,1
Spain,ES,ESP,46937060,"Epidemic intelligence, national daily data",2020-08-04,5760,26
Switzerland,CH,CHE,8544527,"Epidemic intelligence, national daily data",2020-02-14,0,0
United Kingdom,UK,GBR,66647112,"Epidemic intelligence, national daily data",2020-02-02,0,0
Italy,IT,ITA,60359546,"Epidemic intelligence, national daily data",2020-01-20,0,0
Malta,MT,MLT,493559,"Epidemic intelligence, national daily data",2020-04-13,8,1
Germany,DE,DEU,83019213,"Epidemic intelligence, national daily data",2020-02-17,0,0
Montenegro,ME,MNE,622182,"Epidemic intelligence, national daily data",2020-09-30,134,1
Croatia,HR,HRV,4076246,"Epidemic intelligence, national daily data",2020-04-03,48,1
Iceland,IS,ISL,356991,"Epidemic intelligence, national daily data",2020-05-22,0,0
United Kingdom,UK,GBR,66647112,"Epidemic intelligence, national daily data",2020-02-16,0,0
Ukraine,UA,UKR,43733759,"Epidemic intelligence, national daily data",2020-08-31,2096,35
Turkey,TR,TUR,82003882,"Epidemic intelligence, national daily data",2020-03-05,0,0
Albania,AL,ALB,2862427,"Epidemic intelligence, national daily data",2020-05-23,12,0
Denmark,DK,DNK,5806081,"Epidemic intelligence, national daily data",2020-05-01,150,9
Sweden,SE,SWE,10230185,"Epidemic intelligence, national daily data",2020-07-10,334,15
Belgium,BE,BEL,11455519,"Epidemic intelligence, national daily data",2020-01-28,0,0
Croatia,HR,HRV,4076246,"Epidemic intelligence, national daily data",2020-06-15,1,0
Ukraine,UA,UKR,43733759,"Epidemic intelligence, national daily data",2020-06-25,940,16
Greece,EL,GRC,10724599,"Epidemic intelligence, national daily data",2020-05-07,21,1
Iceland,IS,ISL,356991,"Epidemic intelligence, national daily data",2020-09-13,1,0
Bosnia and Herzegovina,BA,BIH,3280815,"Epidemic intelligence, national daily data",2020-01-23,0,0
Bulgaria,BG,BGR,7000039,"Epidemic intelligence, national daily data",2020-05-17,73,6
Ireland,IE,IRL,4904240,"Epidemic intelligence, national daily data",2020-01-07,0,0
San Marino,SM,SMR,34453,"Epidemic intelligence, national daily data",2020-02-09,0,0
Latvia,LV,LVA,1919968,"Epidemic intelligence, national daily data",2020-09-16,5,0
Norway,NO,NOR,5328212,"Epidemic intelligence, national daily data",2020-05-13,29,4
Switzerland,CH,CHE,8544527,"Epidemic intelligence, national daily data",2020-02-21,0,0
France,FR,FRA,67012883,"Epidemic intelligence, national daily data",2020-09-17,9784,46
Liechtenstein,LI,LIE,38378,"Epidemic intelligence, national daily data",2020-03-03,0,0
Portugal,PT,PRT,10276617,"Epidemic intelligence, national daily data",2020-10-14,1208,16
Andorra,AD,AND,76177,"Epidemic intelligence, national daily data",2020-02-20,0,0
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-03-09,2,0
Ukraine,UA,UKR,43733759,"Epidemic intelligence, national daily data",2020-10-07,4348,90
Poland,PL,POL,37972812,"Epidemic intelligence, national daily data",2020-05-18,272,10
Russia,RU,RUS,145934460,"Epidemic intelligence, national daily data",2020-09-25,6595,149
Georgia,GE,GEO,3989175,"Epidemic intelligence, national daily data",2020-03-17,3,0
Albania,AL,ALB,2862427,"Epidemic intelligence, national daily data",2020-02-07,0,0
Jersey,JE,JEY,107796,"Epidemic intelligence, national daily data",2020-05-10,0,0
Faroes,,FRO,48865,"Epidemic intelligence, national daily data",2020-02-08,0,0
United Kingdom,UK,GBR,66647112,"Epidemic intelligence, national daily data",2020-08-07,950,18
Latvia,LV,LVA,1919968,"Epidemic intelligence, national daily data",2020-08-02,7,0
Netherlands,NL,NLD,17282163,"Epidemic intelligence, national daily data",2020-09-09,963,1
Guernsey,GG,GGY,64468,"Epidemic intelligence, national daily data",2020-07-18,0,0
Turkey,TR,TUR,82003882,"Epidemic intelligence, national daily data",2020-07-02,1192,19
Belgium,BE,BEL,11455519,"Epidemic intelligence, national daily data",2020-07-24,439,2
Latvia,LV,LVA,1919968,"Epidemic intelligence, national daily data",2020-02-16,0,0
Liechtenstein,LI,LIE,38378,"Epidemic intelligence, national daily data",2020-02-15,0,0
Monaco,MC,MCO,33085,"Epidemic intelligence, national daily data",2020-01-22,0,0
Slovakia,SK,SVK,5450421,"Epidemic intelligence, national daily data",2020-05-16,3,0
Gibraltar,GI,GIB,33691,"Epidemic intelligence, national daily data",2020-04-23,0,0
Liechtenstein,LI,LIE,38378,"Epidemic intelligence, national daily data",2020-06-28,0,0
Cyprus,CY,CYP,875899,"Epidemic intelligence, national daily data",2020-01-19,0,0
San Marino,SM,SMR,34453,"Epidemic intelligence, national daily data",2020-08-02,0,0
Kosovo,,RKS,1798506,"Epidemic intelligence, national daily data",2020-06-16,129,0
Latvia,LV,LVA,1919968,"Epidemic intelligence, national daily data",2020-09-25,22,0
Malta,MT,MLT,493559,"Epidemic intelligence, national daily data",2020-01-25,0,0
Estonia,EE,EST,1324820,"Epidemic intelligence, national daily data",2020-03-15,36,0
Albania,AL,ALB,2862427,"Epidemic intelligence, national daily data",2020-10-23,302,3
Sweden,SE,SWE,10230185,"Epidemic intelligence, national daily data",2020-02-16,0,0
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-05-21,13,0
Spain,ES,ESP,46937060,"Epidemic intelligence, national daily data",2020-01-24,0,0
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-08-14,68,0
Albania,AL,ALB,2862427,"Epidemic intelligence, national daily data",2020-01-10,0,0
Malta,MT,MLT,493559,"Epidemic intelligence, national daily data",2020-06-29,0,0
Sweden,SE,SWE,10230185,"Epidemic intelligence, national daily data",2020-03-18,119,1
Sweden,SE,SWE,10230185,"Epidemic intelligence, national daily data",2020-06-05,1039,43
Moldova,MD,MDA,4033963,"Epidemic intelligence, national daily data",2020-02-25,0,0
Poland,PL,POL,37972812,"Epidemic intelligence, national daily data",2020-06-04,292,23
Hungary,HU,HUN,9772756,"Epidemic intelligence, national daily data",2020-10-22,2032,46
Italy,IT,ITA,60359546,"Epidemic intelligence, national daily data",2020-04-10,4204,612
Denmark,DK,DNK,5806081,"Epidemic intelligence, national daily data",2020-06-25,54,0
Armenia,AM,ARM,2963234,"Epidemic intelligence, national daily data",2020-09-21,277,2
Serbia,RS,SRB,6963764,"Epidemic intelligence, national daily data",2020-02-17,0,0
Spain,ES,ESP,46937060,"Epidemic intelligence, national daily data",2020-07-12,0,0
Sweden,SE,SWE,10230185,"Epidemic intelligence, national daily data",2020-08-25,174,1
Bosnia and Herzegovina,BA,BIH,3280815,"Epidemic intelligence, national daily data",2020-06-07,31,0
Poland,PL,POL,37972812,"Epidemic intelligence, national daily data",2020-10-11,5300,53
Poland,PL,POL,37972812,"Epidemic intelligence, national daily data",2020-08-31,631,1
Turkey,TR,TUR,82003882,"Epidemic intelligence, national daily data",2020-03-22,277,12
Slovenia,SI,SVN,2080908,"Epidemic intelligence, national daily data",2020-07-19,24,0
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-08-12,26,1
Slovenia,SI,SVN,2080908,"Epidemic intelligence, national daily data",2020-01-07,0,0
Cyprus,CY,CYP,875899,"Epidemic intelligence, national daily data",2020-09-11,3,0
North Macedonia,MK,MKD,2077132,"Epidemic intelligence, national daily data",2020-01-04,0,0
Ireland,IE,IRL,4904240,"Epidemic intelligence, national daily data",2020-10-06,519,0
Germany,DE,DEU,83019213,"Epidemic intelligence, national daily data",2020-07-29,684,6
Bulgaria,BG,BGR,7000039,"Epidemic intelligence, national daily data",2020-05-13,33,2
France,FR,FRA,67012883,"Epidemic intelligence, national daily data",2020-04-24,1653,516
Sweden,SE,SWE,10230185,"Epidemic intelligence, national daily data",2020-05-21,808,52
Georgia,GE,GEO,3989175,"Epidemic intelligence, national daily data",2020-08-27,11,0
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-02-16,0,0
Albania,AL,ALB,2862427,"Epidemic intelligence, national daily data",2020-07-13,83,4
Monaco,MC,MCO,33085,"Epidemic intelligence, national daily data",2020-10-11,0,0
Germany,DE,DEU,83019213,"Epidemic intelligence, national daily data",2020-02-24,0,0
Hungary,HU,HUN,9772756,"Epidemic intelligence, national daily data",2020-01-26,0,0
Ukraine,UA,UKR,43733759,"Epidemic intelligence, national daily data",2020-07-06,823,22
Azerbaijan,AZ,AZE,10139175,"Epidemic intelligence, national daily data",2020-04-21,38,0
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-05-26,47,2
Italy,IT,ITA,60359546,"Epidemic intelligence, national daily data",2020-08-11,259,4
Austria,AT,AUT,8858775,"Epidemic intelligence, national daily data",2020-02-11,0,0
Monaco,MC,MCO,33085,"Epidemic intelligence, national daily data",2020-10-04,1,0
Finland,FI,FIN,5517919,"Epidemic intelligence, national daily data",2020-09-04,39,0
Latvia,LV,LVA,1919968,"Epidemic intelligence, national daily data",2020-05-17,27,0
Estonia,EE,EST,1324820,"Epidemic intelligence, national daily data",2020-03-05,0,0
Greece,EL,GRC,10724599,"Epidemic intelligence, national daily data",2020-09-28,216,3
Belgium,BE,BEL,11455519,"Epidemic intelligence, national daily data",2020-06-21,50,3
Switzerland,CH,CHE,8544527,"Epidemic intelligence, national daily data",2020-09-23,284,3
Portugal,PT,PRT,10276617,"Epidemic intelligence, national daily data",2020-02-10,0,0
Belarus,BY,BLR,9449321,"Epidemic intelligence, national daily data",2020-03-04,3,0
Estonia,EE,EST,1324820,"Epidemic intelligence, national daily data",2020-04-16,29,4
Slovakia,SK,SVK,5450421,"Epidemic intelligence, national daily data",2020-05-19,1,0
Spain,ES,ESP,46937060,"Epidemic intelligence, national daily data",2020-05-03,935,164
Netherlands,NL,NLD,17282163,"Epidemic intelligence, national daily data",2020-02-28,1,0
Sweden,SE,SWE,10230185,"Epidemic intelligence, national daily data",2020-10-14,916,1
Cyprus,CY,CYP,875899,"Epidemic intelligence, national daily data",2020-09-09,1,0
Lithuania,LT,LTU,2794184,"Epidemic intelligence, national daily data",2020-04-19,59,0
Cyprus,CY,CYP,875899,"Epidemic intelligence, national daily data",2020-05-31,2,0
Estonia,EE,EST,1324820,"Epidemic intelligence, national daily data",2020-01-26,0,0
Greece,EL,GRC,10724599,"Epidemic intelligence, national daily data",2020-08-23,243,2
Monaco,MC,MCO,33085,"Epidemic intelligence, national daily data",2020-07-12,1,0
